name,country,source,website,email,phone,address,industry,sub_industry,contact_person,contact_title,products_services,tender_categories,source_url,notes
S V SHOPPERS MART LTD,Jamaica,GOJEP Awards,,,,,"G0250-Hotel, Restaurant and Hospital Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9422864,won: Procurement of Disposable Face Shield 26/27-AL-204; value: 515775.00 Currency: JMD; date: 13/05/2026 23:21:41; agency: Western Regional Health Authority
Quality Laboratory Solutions Jamaica Limited,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9285741,won: Procurement of Bio-Rad Lyphocheck Control 26/27-AL-044; value: 811659.75 Currency: JMD; date: 13/05/2026 23:18:55; agency: Western Regional Health Authority
Matcon construction systems limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9503724,"won: Emergency Works Hurricane Melissa Reopening of Roads-Natural Bridge-Pear Tree Grove (Riversdale- Hampshire), St. Catherine; value: 1823945.13 Currency: JMD; date: 13/05/2026 22:30:03; agency: National Works Agency"
Alpha-Med Global Ltd.,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9068138,won: Procurement of Laboratory Testing Supplies; value: 1846913.60 Currency: JMD; date: 13/05/2026 21:04:07; agency: St. Catherine Health Services
Lesclar Synergy Construction Company Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9501274,won: Emergency Works Hurricane Melissa Reopening of Roads  Summerfield to Thompson Town Clarendon; value: 5130589.60 Currency: JMD; date: 13/05/2026 20:02:02; agency: National Works Agency
BRITALEX CONSTRUCTION COMPANY LIMITED,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9500832,won: Emergency Works Hurricane Melissa Reopening of Roads  St Johns to Pedro River Clarendon; value: 1296322.72 Currency: JMD; date: 13/05/2026 19:40:16; agency: National Works Agency
MASTERS PHARMACEUTICALS,Jamaica,GOJEP Awards,,,,,G0450-Pharmaceutical and Prescription Drugs,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9499829,won: Emergency procurement of Pharmaceutical #22/26; value: 94350.00 Currency: USD; date: 13/05/2026 19:01:48; agency: National Health Fund
Starlit Hardware Electronics and General Supplies Distributors Limited,Jamaica,GOJEP Awards,,,,,G0210-General Supplies,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9117183,won: Procurement of Plumbing Supplies; value: 226147.50 Currency: JMD; date: 13/05/2026 17:48:08; agency: St. Catherine Health Services
Isratech Jamaica Limited,Jamaica,GOJEP Awards,,,,,"G0020-Agricultural Tools, Equipment Parts and Supplies",,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8013223,won: Supply and Delivery of HDPE Pond Liner Material under the Production Incentive Progamme” – RADA/GOODS/09/2025; value: 4338771.75 Currency: JMD; date: 13/05/2026 16:59:32; agency: Rural Agricultural Development Authority
C and D Construction and Engineering Limited,Jamaica,GOJEP Awards,,,,,W0030-Building Construction,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8389788,won: Proposed Construction Works at Pratville Primary and Infant School in Manchester; value: 84521759.00 Currency: JMD; date: 13/05/2026 15:49:26; agency: Culture Health Arts Sports and Education
