name,country,source,website,email,phone,address,industry,sub_industry,contact_person,contact_title,products_services,tender_categories,source_url,notes
High Rolla Trucking Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9344665,"won: Hurricane Melissa October 28, 2025, Emergency Cleanup Works; value: 3198593.20 Currency: JMD; date: 23/04/2026 15:47:48; agency: National Works Agency"
El-Mech Services Limited,Jamaica,GOJEP Awards,,,,,"G0300-Industrial, Construction Equipment, Machinery, Parts and Supplies",,,,,construction;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9221860,won: Procurement of Replacement parts for Cleaver Brooks Boilers 26/27-AL-081; value: 1989071.05 Currency: JMD; date: 23/04/2026 15:36:55; agency: Western Regional Health Authority
Copiers And Consumables Limited,Jamaica,GOJEP Awards,,,,,"G0130-Computers, Computer Equipment, Parts and Supplies",,,,,it;supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9124470,won: The Procurement of One (1) Monochrome Multifunction Document System for St. Elizabeth Health Department within Southern Regional Health Authority; value: 1575814.64 Currency: JMD; date: 23/04/2026 15:16:03; agency: Southern Regional Health Authority
FSC Construction Works Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9343402,"won: Emergency Works Hurricane Melissa Reopening of Roads -Barnett -Adelphi ( Chelsea), St. James; value: 6608472.48 Currency: JMD; date: 23/04/2026 14:51:03; agency: National Works Agency"
Smart Mobile Solutions JA Limited,Jamaica,GOJEP Awards,,,,,"G0130-Computers, Computer Equipment, Parts and Supplies",,,,,it;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=6021935,won: CP1723/24 Supply and Delivery of Fifty (50) Samsung A9+5G 8GB Tablets and Fifty (50) Samsung Galaxy Kickstand Case for ICT Department; value: 2/ 2; date: 23/04/2026 13:37:59; agency: National Water Commission
Andrew Wilson TA Wilson Construction and Interior Service,Jamaica,GOJEP Awards,,,,,W0040-Building Maintenance,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8763255,won: Renovation of E-Title Office Space; value: 3642486.80 Currency: JMD; date: 23/04/2026 13:05:07; agency: National Land Agency
Management Control Systems Limited,Jamaica,GOJEP Awards,,,,,"G0150-Electrical Equipment, Parts and Supplies",,,,,supply;energy,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8959996,won: Procurement of Maintenance Fuser Kits; value: 1919687.36 Currency: JMD; date: 23/04/2026 12:55:03; agency: Electoral Office Of Jamaica
Millers Electric and Construction Company Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9341861,"won: Hurricane Melissa October 28, 2025, Emergency Cleanup Works; value: 7428440.39 Currency: JMD; date: 23/04/2026 12:47:06; agency: National Works Agency"
S M Quality Construction Limited,Jamaica,GOJEP Awards,,,,,W0030-Building Construction,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=7274104,won: Renovation of JCF Convalescent Centre (Retendered); value: 2/ 2; date: 23/04/2026 12:15:52; agency: Ministry of National Security
Champion Industrial Equipment and Supplies Ltd,Jamaica,GOJEP Awards,,,,,W0220-Pipe Laying,,,,,,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9302812,"won: Emergency Repairs to Collapsed Sewer along Beckford Street, Down Town; value: 22664921.00 Currency: JMD; date: 23/04/2026 12:09:02; agency: National Water Commission"
Odel Allen Construction,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9340583,"won: Emergency Works Hurricane Melissa Reopening of Roads - Barnett - Adelphi ( Chelsea), St. James; value: 1241700.30 Currency: JMD; date: 23/04/2026 11:54:13; agency: National Works Agency"
Matcon construction systems limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9340010,"won: Hurricane Melissa October 28, 2025, Emergency Cleanup Works; value: 7919174.76 Currency: JMD; date: 23/04/2026 11:49:38; agency: National Works Agency"
Dutch Construction Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8427001,won: Emergency Procurement - Patching - Various Locations (Package B) Portland; value: 24999770.00 Currency: JMD; date: 23/04/2026 11:36:23; agency: National Works Agency
Jesgo Construction Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9339280,won: Emergency Works Hurricane Melissa reopening of roads Lime Tree Lane Gully Tower Avenue Gully Dupont Bridge Gully; value: 4997038.78 Currency: JMD; date: 23/04/2026 10:56:49; agency: National Works Agency
Ammando Whyte T/A A.Whyte Roofing and Construction,Jamaica,GOJEP Awards,,,,,W0030-Building Construction,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8851633,"won: The Renovation of the Seed Certification Laboratory Bathroom at the Bodles Research Station, St. Catherine; value: 2/ 2; date: 23/04/2026 10:22:37; agency: Ministry of Agriculture Fisheries and Mining"
D.R. Foote Construction Co. Limited,Jamaica,GOJEP Awards,,,,,W0100-General Road Works,,,,,construction;cleaning,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9093820,won: Drain Cleaning Works along the Elegant Corridor in St. James; value: 2/ 2; date: 23/04/2026 09:13:24; agency: Tourism Enhancement Fund
TYRES R US LIMITED,Jamaica,GOJEP Awards,,,,,G0390-Motor Vehicle Spares and Accessories,,,,,supply;logistics,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8837555,won: 2026-02-13-001- PROCUREMENT OF ASSORTED TYRES (Q4); value: 9889019.91 Currency: JMD; date: 22/04/2026 23:45:46; agency: SPM Waste Management Limited
KINGALARM SERVICES LIMITED,Jamaica,GOJEP Awards,,,,,S0530-Safety and Security Services - Guard Services,,,,,security,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9233120,won: Provision of Security service for Orange St.James May 2026 26/27-AL-137; value: 946818.00 Currency: JMD; date: 22/04/2026 23:45:14; agency: Western Regional Health Authority
ALL POWER LIMITED,Jamaica,GOJEP Awards,,,,,"G0150-Electrical Equipment, Parts and Supplies",,,,,supply;energy,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9160538,"won: 2026-03-27-001- SUPPLY, INSTALL AND COMMISSION STANDBY GENERATOR; value: 13677200.00 Currency: JMD; date: 22/04/2026 23:44:59; agency: SPM Waste Management Limited"
SINGHS PROPERTY COMPANY LTD,Jamaica,GOJEP Awards,,,,,S0610-Transportation and Haulage - Aggregate and Construction Material,,,,,construction;cleaning,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8943211,"won: RFQ-2026-02-27-003- PROVISION OF COVER MATERIAL FOR THE ACTIVE BULKY WASTE CELL, MARTINS HILL DISPOSAL SITE (Q4); value: 9121350.00 Currency: JMD; date: 22/04/2026 23:38:32; agency: SPM Waste Management Limited"
DELAPENHA FUNERAL HOME LIMITED,Jamaica,GOJEP Awards,,,,,S0280-Funeral Services,,,,,,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9221421,won: Provision of Burial Services for Adult Indigents 26/27-AL-047; value: 2250000.00 Currency: JMD; date: 22/04/2026 23:19:11; agency: Western Regional Health Authority
SHEKINAH TRADING LIMITED,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8738477,won: Procurement of Medical Supplies (Cervical Scrapers); value: 264500.00 Currency: JMD; date: 22/04/2026 22:00:21; agency: St. Catherine Health Services
Clifton Berrick T/A Berricks Pots Meat and More,Jamaica,GOJEP Awards,,,,,G0360-Merchandise,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9019086,won: Procurement of Merchandise Items (Phone Cards); value: 171737.00 Currency: JMD; date: 22/04/2026 21:41:27; agency: St. Catherine Health Services
Brentwood Construction Limited,Jamaica,GOJEP Awards,,,,,W0030-Building Construction,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8877292,won: Repairs of Two (2) Gazebos at the Montego Bay Free Zone; value: 8820610.00 Currency: JMD; date: 22/04/2026 20:50:19; agency: Port Authority of Jamaica
Alpha-Med Global Ltd.,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9191059,won: The Procurement of Laboratory Supplies THSPROC-626A; value: 36897.75 Currency: JMD; date: 22/04/2026 20:49:53; agency: Western Regional Health Authority
Jemar Printery Limited,Jamaica,GOJEP Awards,,,,,S0370-Lithographic and Printing Services,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8738827,won: Supply and Delivery of Dockets and Cash Books; value: 219650.00 Currency: JMD; date: 22/04/2026 20:39:59; agency: Kingston and St. Andrew Health Services
Duke's Electrical Company Limited,Jamaica,GOJEP Awards,,,,,W0030-Building Construction,,,,,construction;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9333575,"won: Procurement of works Under Emergency Circumstances –Repairs to the Trafficking in Persons Shelter, Ref No. MNS2026/03/847; value: 2/ 2; date: 22/04/2026 20:35:53; agency: Ministry of National Security"
Selmic Construction Limited,Jamaica,GOJEP Awards,,,,,W0100-General Road Works,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8901599,"won: Esher Road, Islington Division SMMC/2026/50; value: 2/ 2; date: 22/04/2026 20:18:36; agency: St. Mary Municipal Corporation"
PBS Technologies (Jamaica) Limited,Jamaica,GOJEP Awards,,,,,G0540-Stationery Supplies,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8735259,won: Supply and Delivery of Blank Labels; value: 414000.00 Currency: JMD; date: 22/04/2026 19:36:44; agency: Kingston and St. Andrew Health Services
Symptai Consulting Limited,Jamaica,GOJEP Awards,,,,,S0130-Consulting Services - General,,,,,consulting,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8789021,won: Consultancy to support compliance with the Data Protection Act of Jamaica; value: 13248000.00 Currency: JMD; date: 22/04/2026 19:11:34; agency: Planning Institute of Jamaica
SKYMAR BUILDING CONSTRUCTION AND MAINTENANCE LIMITED,Jamaica,GOJEP Awards,,,,,W0030-Building Construction,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8775832,"won: Repairs to 35 Hopefield Avenue, Kingston 6; value: 15082700.00 Currency: JMD; date: 22/04/2026 19:03:50; agency: National Land Agency"
MINTECH DISTRIBUTORS LIMITED,Jamaica,GOJEP Awards,,,,,G0500-Safety Products,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8459268,won: Supply and Delivery of Personal Protective Equipment; value: 5943542.22 Currency: JMD; date: 22/04/2026 17:00:20; agency: Kingston and St. Andrew Health Services
