name,country,source,website,email,phone,address,industry,sub_industry,contact_person,contact_title,products_services,tender_categories,source_url,notes
DKAM Engineering Solutions Limited,Jamaica,GOJEP Awards,,,,,"G0150-Electrical Equipment, Parts and Supplies",,,,,supply;energy,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8941332,won: PROVISION OF STAND-BY GENERATOR; value: 2/ 2; date: 08/05/2026 15:30:28; agency: Jamaica Urban Transit Company
RYAN CHIN T/AS ROADLINK CONSTRUCTION,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9458383,won: Emergency Works Hurricane Melissa Reopening of Roads-Papine-Tamerind Tree (Papine-Redlight) Gordon Town- Penfield St. Andrew; value: 6793169.81 Currency: JMD; date: 08/05/2026 14:28:37; agency: National Works Agency
IBS TECHNOLOGY LIMITED,Jamaica,GOJEP Awards,,,,,S0120-Computers and Related Services,,,,,,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9190296,"won: Manage Engine Service Desk; value: 1662822.00 Currency: JMD; date: 08/05/2026 12:28:44; agency: Betting, Gaming and Lotteries Commission"
Greenwood Plaza Company Limited,Jamaica,GOJEP Awards,,,,,"G0090-Building and Construction Extrusions, Aluminium Windows, Doors and Hurricane Shutters",,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9455991,won: Building Relief Packages to be Distributed to the Families of Tourism Workers whose homes were affected by Hurricane Melissa in St. James; value: 1721192.00 Currency: JMD; date: 08/05/2026 00:46:41; agency: Tourism Enhancement Fund
SHEKINAH TRADING LIMITED,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9242823,won: Procurement of Hospital Bed Mattresses 26/27-AL-064; value: 650325.00 Currency: JMD; date: 08/05/2026 00:43:13; agency: Western Regional Health Authority
Toni-Ann Clarke,Jamaica,GOJEP Awards,,,,,S0100-Catering,,,,,food,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9455833,won: Catering and Rental Services to support Christmas Treat and Community Engagement Activities in Springmount post Hurricane Melissa; value: 678000.00 Currency: JMD; date: 08/05/2026 00:40:48; agency: Tourism Enhancement Fund
Unicorp Solutions Limited,Jamaica,GOJEP Awards,,,,,"G0130-Computers, Computer Equipment, Parts and Supplies",,,,,it;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9455417,won: One (1) Business Class Performance Laptop for THARP; value: 1062986.40 Currency: JMD; date: 07/05/2026 23:54:15; agency: Tourism Enhancement Fund
Atlantic Hardware and Plumbing Company Limited,Jamaica,GOJEP Awards,,,,,"G0090-Building and Construction Extrusions, Aluminium Windows, Doors and Hurricane Shutters",,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9455206,"won: Building Relief Packages to be Distributed to the Families of Tourism Workers whose homes were affected by Hurricane Melissa in Westmoreland, Trelawny, St. James, Hanover and St. Elizabeth; value: 26078580.00 Currency: JMD; date: 07/05/2026 23:43:19; agency: Tourism Enhancement Fund"
Hardware and Lumber Limited,Jamaica,GOJEP Awards,,,,,"G0090-Building and Construction Extrusions, Aluminium Windows, Doors and Hurricane Shutters",,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9455035,won: Building Relief Packages to be Distributed to the Families of Tourism Workers whose homes were affected by Hurricane Melissa in St. James; value: 19406826.42 Currency: JMD; date: 07/05/2026 23:37:07; agency: Tourism Enhancement Fund
GraceKennedy Limited,Jamaica,GOJEP Awards,,,,,G0190-Food and Grocery Items,,,,,food,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9454822,won: Tastee Cheese to be distributed to Communities affected by Hurricane Melissa; value: 1767258.36 Currency: JMD; date: 07/05/2026 23:25:51; agency: Tourism Enhancement Fund
